,oktmo,region_name,value_2014,value_2015,value_2016,value_2017,value_2018,in_program
0,1601402,Алтайскийкрай,21,25,19,18,12,True
1,1601408,Алтайскийкрай,9,10,9,10,10,False
2,1601413,Алтайскийкрай,8,6,4,6,2,False
3,1601417,Алтайскийкрай,21,4,3,7,12,False
4,1601420,Алтайскийкрай,12,18,14,12,17,False
5,1601423,Алтайскийкрай,8,7,11,8,10,False
6,1601426,Алтайскийкрай,19,12,11,11,11,False
7,1601432,Алтайскийкрай,21,16,11,11,12,False
8,1601438,Алтайскийкрай,9,11,12,7,4,False
9,1601440,Алтайскийкрай,11,1,3,4,1,False
10,1601460,Алтайскийкрай,4,3,2,3,2,False
11,1601464,Алтайскийкрай,10,11,13,7,11,False
12,1601468,Алтайскийкрай,12,8,13,9,7,False
13,1601473,Алтайскийкрай,4,5,5,5,6,False
14,1601475,Алтайскийкрай,5,6,2,4,2,False
15,1601477,Алтайскийкрай,19,8,22,11,8,False
16,1601485,Алтайскийкрай,10,10,6,3,8,False
17,1601496,Алтайскийкрай,7,12,10,4,6,False
18,1601498,Алтайскийкрай,11,6,7,3,6,False
19,1602405,Алтайскийкрай,53,42,48,36,28,False
20,1602407,Алтайскийкрай,175,200,193,166,136,False
21,1602412,Алтайскийкрай,7,5,11,8,15,True
22,1602423,Алтайскийкрай,11,15,8,6,5,False
23,1602427,Алтайскийкрай,16,9,16,6,7,False
24,1602435,Алтайскийкрай,11,9,5,6,7,False
25,1602446,Алтайскийкрай,39,29,29,31,27,False
26,1602457,Алтайскийкрай,27,22,20,16,18,False
27,1602468,Алтайскийкрай,18,9,6,5,11,False
28,1602479,Алтайскийкрай,24,22,17,11,16,False
29,1603407,Алтайскийкрай,57,62,65,32,59,False
30,1603416,Алтайскийкрай,9,9,7,9,4,False
31,1603419,Алтайскийкрай,13,14,7,6,5,False
32,1603434,Алтайскийкрай,4,1,1,,,False
33,1603437,Алтайскийкрай,18,18,18,15,14,True
34,1603455,Алтайскийкрай,6,4,3,5,4,False
35,1603458,Алтайскийкрай,6,12,6,11,11,False
36,1603469,Алтайскийкрай,3,6,7,7,4,False
37,1603480,Алтайскийкрай,8,12,6,5,4,False
38,1604410,Алтайскийкрай,12,12,16,19,11,False
39,1604415,Алтайскийкрай,23,13,13,11,12,False
40,1604417,Алтайскийкрай,39,51,47,25,29,False
41,1604422,Алтайскийкрай,19,27,29,21,15,False
42,1604424,Алтайскийкрай,14,19,28,22,8,False
43,1604434,Алтайскийкрай,18,13,5,11,11,False
44,1604437,Алтайскийкрай,26,22,20,20,14,False
45,1604455,Алтайскийкрай,31,33,45,23,18,False
46,1604459,Алтайскийкрай,57,35,50,53,36,False
47,1604464,Алтайскийкрай,18,11,19,17,19,False
48,1604470,Алтайскийкрай,101,88,85,93,74,False
49,1604480,Алтайскийкрай,28,34,20,28,21,False
50,1604483,Алтайскийкрай,43,33,25,39,27,False
51,1604488,Алтайскийкрай,27,18,12,21,19,False
52,1604495,Алтайскийкрай,23,14,15,19,12,False
53,1605406,Алтайскийкрай,5,4,9,8,8,False
54,1605420,Алтайскийкрай,27,9,21,22,13,False
55,1605436,Алтайскийкрай,44,28,28,28,25,False
56,1605447,Алтайскийкрай,6,5,8,6,6,False
57,1605452,Алтайскийкрай,18,14,13,17,19,False
58,1605456,Алтайскийкрай,21,19,14,10,7,False
59,1605458,Алтайскийкрай,9,8,12,9,9,False
60,1605461,Алтайскийкрай,12,9,17,11,9,False
61,1605483,Алтайскийкрай,13,22,13,14,10,False
62,1605494,Алтайскийкрай,7,11,10,9,5,False
63,1606411,Алтайскийкрай,52,47,42,34,30,False
64,1606422,Алтайскийкрай,19,15,13,13,9,False
65,1606430,Алтайскийкрай,1,6,3,2,2,False
66,1606433,Алтайскийкрай,20,9,8,6,13,False
67,1606444,Алтайскийкрай,6,5,9,6,7,False
68,1606455,Алтайскийкрай,10,3,8,8,7,False
69,1606466,Алтайскийкрай,18,13,13,10,8,False
70,1606470,Алтайскийкрай,8,4,2,9,7,False
71,1606477,Алтайскийкрай,17,17,12,11,9,True
72,1607403,Алтайскийкрай,10,8,4,13,5,False
73,1607405,Алтайскийкрай,49,33,36,44,33,False
74,1607411,Алтайскийкрай,21,18,10,7,12,False
75,1607422,Алтайскийкрай,7,4,4,5,3,False
76,1607433,Алтайскийкрай,14,14,6,8,8,True
77,1607437,Алтайскийкрай,12,4,13,12,6,False
78,1607444,Алтайскийкрай,6,1,1,2,1,False
79,1607455,Алтайскийкрай,28,15,9,16,10,False
80,1608410,Алтайскийкрай,12,5,5,6,3,False
81,1608414,Алтайскийкрай,12,6,14,9,9,False
82,1608421,Алтайскийкрай,151,130,143,128,121,False
83,1608423,Алтайскийкрай,21,18,18,8,16,False
84,1608430,Алтайскийкрай,7,2,6,3,4,False
85,1608434,Алтайскийкрай,11,9,14,7,16,False
86,1608445,Алтайскийкрай,8,3,6,2,3,False
87,1608456,Алтайскийкрай,5,6,5,5,1,False
88,1608467,Алтайскийкрай,10,8,13,10,7,False
89,1608478,Алтайскийкрай,12,14,11,8,10,False
90,1608489,Алтайскийкрай,7,16,12,11,4,False
91,1609411,Алтайскийкрай,5,5,5,3,3,False
92,1609422,Алтайскийкрай,26,17,26,23,20,False
93,1609428,Алтайскийкрай,7,5,7,3,3,False
94,1609433,Алтайскийкрай,86,80,58,60,63,False
95,1609444,Алтайскийкрай,17,14,15,14,9,False
96,1609455,Алтайскийкрай,26,25,16,19,18,False
97,1609466,Алтайскийкрай,8,8,3,3,6,False
98,1609490,Алтайскийкрай,4,1,6,4,3,False
99,1610411,Алтайскийкрай,2,1,3,3,,False
100,1610422,Алтайскийкрай,36,48,32,34,23,False
101,1610433,Алтайскийкрай,15,19,13,12,10,False
102,1610444,Алтайскийкрай,5,3,3,1,3,False
103,1610466,Алтайскийкрай,10,8,6,8,5,False
104,1610488,Алтайскийкрай,2,1,3,2,3,False
105,1611411,Алтайскийкрай,14,7,8,10,9,False
106,1611416,Алтайскийкрай,18,18,19,13,10,False
107,1611423,Алтайскийкрай,31,19,20,19,18,False
108,1611434,Алтайскийкрай,95,84,90,69,73,False
109,1611445,Алтайскийкрай,7,5,13,7,5,False
110,1611456,Алтайскийкрай,17,6,13,11,7,False
111,1611467,Алтайскийкрай,8,13,8,11,5,True
112,1611469,Алтайскийкрай,8,5,5,4,3,False
113,1611470,Алтайскийкрай,6,1,5,2,7,False
114,1611478,Алтайскийкрай,9,10,4,6,3,False
115,1611486,Алтайскийкрай,9,4,2,2,2,False
116,1611489,Алтайскийкрай,21,15,15,13,14,False
117,1612409,Алтайскийкрай,6,7,11,11,4,False
118,1612412,Алтайскийкрай,13,8,8,10,8,False
119,1612422,Алтайскийкрай,7,6,8,4,1,False
120,1612426,Алтайскийкрай,118,105,83,98,95,False
121,1612437,Алтайскийкрай,7,7,9,6,5,False
122,1612459,Алтайскийкрай,13,12,10,9,3,False
123,1612470,Алтайскийкрай,8,9,2,7,5,False
124,1612481,Алтайскийкрай,16,15,16,14,13,False
125,1612492,Алтайскийкрай,12,10,12,9,8,False
126,1613406,Алтайскийкрай,7,10,6,3,2,False
127,1613420,Алтайскийкрай,8,8,10,3,3,False
128,1613425,Алтайскийкрай,10,4,4,4,10,False
129,1613428,Алтайскийкрай,16,17,16,14,10,True
130,1613430,Алтайскийкрай,20,7,14,6,11,False
131,1613434,Алтайскийкрай,5,5,6,1,5,False
132,1613436,Алтайскийкрай,12,11,7,13,7,True
133,1613438,Алтайскийкрай,12,6,4,1,1,False
134,1613450,Алтайскийкрай,8,4,6,6,7,False
135,1613460,Алтайскийкрай,17,19,11,10,12,False
136,1613461,Алтайскийкрай,12,5,8,7,5,False
137,1613464,Алтайскийкрай,15,11,7,6,9,False
138,1613468,Алтайскийкрай,19,11,11,13,13,True
139,1613474,Алтайскийкрай,22,9,20,13,10,False
140,1613478,Алтайскийкрай,8,7,9,3,4,False
141,1613487,Алтайскийкрай,16,7,8,10,7,False
142,1613488,Алтайскийкрай,32,19,18,19,18,False
143,1613492,Алтайскийкрай,14,12,4,7,3,False
144,1613494,Алтайскийкрай,14,14,4,9,4,False
145,1613496,Алтайскийкрай,13,8,4,5,4,False
146,1614422,Алтайскийкрай,26,25,23,28,8,False
147,1614433,Алтайскийкрай,29,17,25,20,20,False
148,1614444,Алтайскийкрай,13,6,11,6,8,False
149,1614450,Алтайскийкрай,1,2,2,2,2,False
150,1614455,Алтайскийкрай,10,9,15,11,13,False
151,1614466,Алтайскийкрай,18,21,6,8,10,False
152,1614477,Алтайскийкрай,11,12,12,10,7,False
153,1614488,Алтайскийкрай,13,19,10,14,16,False
154,1615409,Алтайскийкрай,11,12,16,8,10,False
155,1615414,Алтайскийкрай,11,15,13,17,12,False
156,1615425,Алтайскийкрай,3,4,7,5,7,False
157,1615427,Алтайскийкрай,52,55,60,49,55,False
158,1615435,Алтайскийкрай,8,8,8,12,6,False
159,1615450,Алтайскийкрай,10,10,9,10,9,False
160,1615457,Алтайскийкрай,50,47,41,31,45,False
161,1615468,Алтайскийкрай,18,9,19,6,6,False
162,1615480,Алтайскийкрай,9,5,3,4,7,False
163,1615485,Алтайскийкрай,13,9,11,3,8,False
164,1616404,Алтайскийкрай,14,14,10,14,8,True
165,1616413,Алтайскийкрай,5,5,7,3,1,False
166,1616417,Алтайскийкрай,15,12,4,15,8,False
167,1616437,Алтайскийкрай,17,10,13,12,10,False
168,1616461,Алтайскийкрай,7,10,15,15,9,False
169,1616468,Алтайскийкрай,12,11,5,5,12,False
170,1616473,Алтайскийкрай,18,7,9,9,8,False
171,1616475,Алтайскийкрай,12,8,5,9,3,False
172,1616482,Алтайскийкрай,8,12,11,7,4,False
173,1616486,Алтайскийкрай,14,16,10,9,12,False
174,1616490,Алтайскийкрай,2,2,7,6,3,False
175,1616494,Алтайскийкрай,8,7,14,5,4,False
176,1616497,Алтайскийкрай,5,4,3,2,2,False
177,1617406,Алтайскийкрай,15,17,10,8,8,False
178,1617412,Алтайскийкрай,5,6,8,9,8,False
179,1617415,Алтайскийкрай,5,4,5,6,3,False
180,1617420,Алтайскийкрай,10,8,6,3,3,False
181,1617424,Алтайскийкрай,133,104,94,70,94,False
182,1617430,Алтайскийкрай,3,3,,,,False
183,1617435,Алтайскийкрай,10,9,7,2,5,False
184,1617437,Алтайскийкрай,15,21,7,11,9,False
185,1617446,Алтайскийкрай,8,11,3,4,6,False
186,1617468,Алтайскийкрай,4,3,5,4,7,True
187,1617479,Алтайскийкрай,30,14,9,6,15,False
188,1618406,Алтайскийкрай,25,16,12,9,12,False
189,1618414,Алтайскийкрай,7,6,7,4,2,False
190,1618420,Алтайскийкрай,10,10,4,7,10,False
191,1618425,Алтайскийкрай,15,6,5,5,4,False
192,1618430,Алтайскийкрай,30,21,18,30,17,False
193,1618434,Алтайскийкрай,71,73,84,59,70,False
194,1618440,Алтайскийкрай,15,13,15,12,5,False
195,1618449,Алтайскийкрай,11,12,10,9,4,False
196,1618460,Алтайскийкрай,56,73,56,41,39,False
197,1618466,Алтайскийкрай,4,7,6,5,6,False
198,1618468,Алтайскийкрай,16,8,11,13,10,False
199,1619405,Алтайскийкрай,16,18,12,8,16,False
200,1619407,Алтайскийкрай,34,21,20,27,28,False
201,1619423,Алтайскийкрай,81,89,64,79,69,False
202,1619445,Алтайскийкрай,10,11,14,15,13,False
203,1619447,Алтайскийкрай,6,2,8,8,6,False
204,1619456,Алтайскийкрай,11,11,9,13,14,False
205,1619478,Алтайскийкрай,23,22,19,29,18,False
206,1619489,Алтайскийкрай,17,12,9,12,10,False
207,1620406,Алтайскийкрай,4,6,6,3,4,False
208,1620412,Алтайскийкрай,9,10,13,9,10,False
209,1620417,Алтайскийкрай,13,15,18,9,9,False
210,1620424,Алтайскийкрай,12,14,10,7,12,False
211,1620430,Алтайскийкрай,63,59,67,51,48,False
212,1620436,Алтайскийкрай,8,4,4,,,False
213,1620442,Алтайскийкрай,20,15,22,12,23,False
214,1620448,Алтайскийкрай,12,5,15,13,8,False
215,1620459,Алтайскийкрай,10,4,7,7,6,False
216,1620468,Алтайскийкрай,3,8,1,1,2,False
217,1620470,Алтайскийкрай,7,6,9,2,8,True
