регион,название ,2014   ,2013   ,октмо
Архангельскаяобласть,аргуновское,1186,1211,
Архангельскаяобласть,благовещенское,1642,1623,
Архангельскаяобласть,верхнеустькулойское,667,634,
Архангельскаяобласть,верхнешоношское,659,618,
Архангельскаяобласть,липовское,681,641,
Архангельскаяобласть,муравьевское,4468,4522,
Архангельскаяобласть,низовское,607,642,
Архангельскаяобласть,пакшеньгское,441,442,
Архангельскаяобласть,пежемское,843,837,
Архангельскаяобласть,попонаволоцкое,1368,1347,
Архангельскаяобласть,пуйское,1224,1164,
Архангельскаяобласть,ракуло-кокшеньгское,473,463,
Архангельскаяобласть,солгинское,1570,1496,
Архангельскаяобласть,судромское,889,879,
Архангельскаяобласть,тегринское,1049,1001,
Архангельскаяобласть,усть-вельское,2330,2373,
Архангельскаяобласть,усть-шоношское,1205,1140,
Архангельскаяобласть,хозьминское,741,728,
Архангельскаяобласть,шадреньгское,992,1003,
Архангельскаяобласть,шоношское,515,496,
Архангельскаяобласть,афанасьевское,1497,1524,
Архангельскаяобласть,верхнетоемское,4437,4332,
Архангельскаяобласть,выйское,537,505,
Архангельскаяобласть,горковское,1716,1610,11608420
Архангельскаяобласть,двинское,2684,2656,
Архангельскаяобласть,пучужское,968,944,
Архангельскаяобласть,сефтренское,713,652,
Архангельскаяобласть,тимошинское,1159,1077,
Архангельскаяобласть,федьковское,1863,1792,
Архангельскаяобласть,беляевское,214,190,
Архангельскаяобласть,вилегодское,1590,1530,
Архангельскаяобласть,ильинское,5507,5439,11611412
Архангельскаяобласть,никольское,959,920,
Архангельскаяобласть,павловское,1060,1034,
Архангельскаяобласть,селянское,1276,1245,
Архангельскаяобласть,борецкое,1341,1311,
Архангельскаяобласть,заостровское,420,396,
Архангельскаяобласть,кицкое,536,514,
Архангельскаяобласть,моржегорское,1575,1538,
Архангельскаяобласть,осиновское,1078,1028,
Архангельскаяобласть,рочегодское,2274,2184,
Архангельскаяобласть,усть-ваеньгское,1010,963,
Архангельскаяобласть,шидровское,704,689,
Архангельскаяобласть,ошевенское,560,548,11618428
Архангельскаяобласть,павловское,2118,2091,
Архангельскаяобласть,печниковское,942,944,
Архангельскаяобласть,приозерное,1884,1868,
Архангельскаяобласть,ухотское,2396,2328,
Архангельскаяобласть,волошское,1059,1022,
Архангельскаяобласть,вохтомское,1024,984,
Архангельскаяобласть,ерцевское,4101,4058,
Архангельскаяобласть,климовское,448,435,
Архангельскаяобласть,мирный,702,587,
Архангельскаяобласть,подюжское,3198,3103,
Архангельскаяобласть,тавреньгское,1367,1316,
Архангельскаяобласть,черемушское,3720,3742,
Архангельскаяобласть,алексеевское,6235,6117,
Архангельскаяобласть,белослудское,576,551,
Архангельскаяобласть,верхнеуфтюгское,495,454,
Архангельскаяобласть,куликовское,1010,951,
Архангельскаяобласть,пермогорское,694,702,
Архангельскаяобласть,телеговское,1453,1480,
Архангельскаяобласть,черевковское,2654,2638,
Архангельскаяобласть,козьминское,1085,1040,
Архангельскаяобласть,сафроновское,5055,4935,
Архангельскаяобласть,сойгинское,1293,1243,
Архангельскаяобласть,вожгорское,779,726,
