,region_name,value,oktmo,in_program
23,Архангельскаяобласть,1716.0,11608420,True
31,Архангельскаяобласть,5507.0,11611412,True
43,Архангельскаяобласть,560.0,11618428,True
74,Архангельскаяобласть,473.0,11658436,True
90,Архангельскаяобласть,1231.0,41639416,True
103,Архангельскаяобласть,1523.0,19620464,True
178,Архангельскаяобласть,1859.0,11658436,True
179,Архангельскаяобласть,1593.0,11658444,True
186,Вологодская область,663.0,41618460,True
193,Вологодская область,430.0,41603460,True
205,Вологодская область,445.0,99610460,True
259,Вологодская область,6191.0,19620440101,True
260,Вологодская область,6562.0,19620000,True
264,Вологодская область,3805.0,19620464,True
267,Вологодская область,5389.0,19620000,True
268,Вологодская область,4166.0,19620484101,True
269,Вологодская область,3108.0,41642436,True
303,Вологодская область,963.0,41642436,True
313,Вологодская область,1251.0,41615464,True
338,Вологодская область,1163.0,19620484101,True
368,Вологодская область,326.0,11611412,True
382,Вологодская область,1027.0,19620000,True
399,Вологодская область,639.0,41633440,True
431,Воронежская область,648.0,19620000,True
432,Воронежская область,783.0,19620000,True
458,Воронежская область,1280.0,19620000,True
502,Воронежская область,1411.0,19620484101,True
603,Воронежская область,2212.0,19620000,True
664,Воронежская область,511.0,41615464,True
713,Воронежская область,2479.0,19620000,True
714,Воронежская область,2505.0,19620000,True
731,Воронежская область,718.0,19620000,True
751,Воронежская область,576.0,41615464,True
778,Воронежская область,2542.0,19620000,True
792,Воронежская область,1674.0,19620000,True
842,Воронежская область,2042.0,19620000,True
851,Воронежская область,1694.0,19620000,True
865,Астраханская область,1070.0,1617468,True
867,Астраханская область,839.0,12605436,True
868,Астраханская область,911.0,12605440,True
878,Астраханская область,770.0,12605436,True
879,Астраханская область,1100.0,12642460,True
890,Астраханская область,2487.0,12610464101,True
892,Астраханская область,916.0,25608410,True
903,Астраханская область,2336.0,12640412,True
915,Астраханская область,1098.0,12620432,True
939,Астраханская область,3123.0,12630412,True
941,Астраханская область,2084.0,12630412,True
943,Астраханская область,2086.0,12630412,True
945,Астраханская область,13002.0,1634450,True
946,Астраханская область,1799.0,12630412,True
952,Астраханская область,1141.0,12635402101,True
960,Астраханская область,1144.0,12645416,True
970,Астраханская область,3650.0,18645408,True
978,Астраханская область,9536.0,19620000,True
992,Астраханская область,1405.0,18645408,True
994,Астраханская область,1184.0,12645416,True
1020,Красноярский край,295.0,1617468,True
1024,Красноярский край,1680.0,1625495,True
1037,Красноярский край,965.0,1602412,True
1064,Красноярский край,2849.0,4608404,True
1081,Красноярский край,5828.0,50638404,True
1092,Красноярский край,441.0,1602412,True
1102,Красноярский край,265.0,1632420,True
1113,Красноярский край,953.0,12645416,True
1118,Красноярский край,3078.0,1602412,True
1138,Красноярский край,301.0,12642460,True
1180,Красноярский край,266.0,10628441,True
1190,Красноярский край,744.0,1617468,True
1220,Красноярский край,223.0,10628441,True
1249,Красноярский край,296.0,19620000,True
1312,Красноярский край,1898.0,10628441,True
1348,Красноярский край,2724.0,12620432,True
1350,Красноярский край,3553.0,1645423,True
1376,Красноярский край,734.0,10628441,True
1403,Красноярский край,272.0,12620432,True
1422,Красноярский край,737.0,10628441,True
1448,Красноярский край,840.0,12645416,True
1476,Красноярский край,5596.0,4628413,True
1499,Забайкальский край,3720.0,76603411,True
1501,Забайкальский край,353.0,76603427,True
