Ссылка,Регион,Сельское поселение,oktmo,На что,Сумма(тыс р),Год ,примечание,,Сумма,Год,,,,Наименование,,нужно найти:,
https://agroprom.lenobl.ru/ru/o-komitete/napravleniya-deyatelnosti/ustojchivoe-razvitie-selskih-territorij/perechen-obektov-podprogrammy/,Ленинградская область,Сосновское,41639444,общеобразовательные организации,43000,2014,,всего на подпроект с инфраструктурой в регионе выделили,1558895,2014,,,,,,"Алтайский край,",
https://agroprom.lenobl.ru/media/uploads/userfiles/2018/07/12/306.xls,Ленинградская область,Сосновское,41639444,общеобразовательные организации,"59091,6",2015,,,,,,,,Амурская область,предполагали лишь строительство спортивных объектов - совпадает с реализацией программы по развитию спорта 2014-2017,Красноярский край,
https://docs.cntd.ru/document/537949188#8PI0LS,Ленинградская область,Колтушское,41612416,общеобразовательные организации,20000,2014,,,"2041121,4",2015,,,,Архангельская область,,"Волгоградская область,",
,Ленинградская область,Колтушское,41612416,общеобразовательные организации,130259,2015,,,,,,,,Астраханская область,,"Воронежская область,",
,Ленинградская область,Клопицкое,41606430,общеобразовательные организации,17200,2014,,,"1976449,2",2016,,,,Белгородская область,начали реализацию программы только в 2019-2020,Иркутская область,
,Ленинградская область,Клопицкое,41606430,общеобразовательные организации,69700,2015,,,,,,,,Брянская область,,"Курганская область,",
,Ленинградская область,Рабитицкое,41606408,детские дошкольные организации,20926,2014,,,"2271250,5",2017,,,,Владимирская область,ищу,"Курская область,",? мб не всё
,Ленинградская область,Рабитицкое,41606408,детские дошкольные организации,144847,2015,,,,,,,,Волгоградская область,ищу ,"Новосибирская область,",
,Ленинградская область,Большеврудское,41606412,фельдшерско-акушерские пункты,15000,2014,,,,,,,,Вологодская область,ищу ,"Ростовская область,",не ставили цель улучшение социальной инфраструктуры
,Ленинградская область,Большеврудское,41606412,фельдшерско-акушерские пункты,18900,2015,,,,,,,,Воронежская область,,Саратовская область,
,Ленинградская область,Большеврудское,41606412,фельдшерско-акушерские пункты,16728,2014,,,,,,,,,,,
,Ленинградская область,Большеврудское,41606412,фельдшерско-акушерские пункты,"17550,8",2015,,,,,,,,Еврейская автономная область,,,
,Ленинградская область,Полянское,41615464,фельдшерско-акушерские пункты,5000,2014,,,,,,,,Забайкальский край,,,
,Ленинградская область,Полянское,41615464,фельдшерско-акушерские пункты,16926,2015,,,,,,,,Ивановская область,,,
,Ленинградская область,Мшинское,41633440,фельдшерско-акушерские пункты,5355,2014,,,,,,,,,,,
,Ленинградская область,Мшинское,41633440,фельдшерско-акушерские пункты,5166,2015,,,,,,,,Иркутская область,,,
,Ленинградская область,Винницкое,41636404,фельдшерско-акушерские пункты,"5120,5",2014,,,,,,,,Кабардино-Балкарская Республика,,,
,Ленинградская область,Винницкое,41636404,фельдшерско-акушерские пункты,23464,2015,,,,,,,,Калининградская область,,,
,Ленинградская область,Ромашкинское,41639434,фельдшерско-акушерские пункты,9840,2014,,,,,,,,Калужская область,,,
,Ленинградская область,Ромашкинское,41639434,фельдшерско-акушерские пункты,,2015,,,,,,,,Камчатский край,,,
,Ленинградская область,Запорожское,41639416,фельдшерско-акушерские пункты,6777,2014,,,,,,,,Карачаево-Черкесская Республика,,,
,Ленинградская область,Алёховщинское,41627404,фельдшерско-акушерские пункты,500,2014,,,,,,,,Костромская область,,,
,Ленинградская область,Алёховщинское,41627404,фельдшерско-акушерские пункты,2000,2015,,,,,,,,Краснодарский край,,,
,Ленинградская область,Мельниковское,41639428,фельдшерско-акушерские пункты,23103,2014,,,,,,,,Красноярский край,,,
,Ленинградская область,Мельниковское,41639428,фельдшерско-акушерские пункты,"6126,3",2015,,,,,,,,Курганская область,,,
,Ленинградская область,Путиловское,41625440,фельдшерско-акушерские пункты,7000,2014,,,,,,,,Курская область,,,
,Ленинградская область,Путиловское,41625440,фельдшерско-акушерские пункты,50763,2015,,,,,,,,Ленинградская область,,,
,Ленинградская область,Агалатовское,41612408,фельдшерско-акушерские пункты,119250,2014,,,,,,,,Липецкая область,,,
,Ленинградская область,Агалатовское,41612408,фельдшерско-акушерские пункты,"25519,5",2015,,,,,,,,Магаданская область,,,
,Ленинградская область,Агалатовское,41612408,фельдшерско-акушерские пункты,31000,2016,,,,,,,,Московская область,,,
,Ленинградская область,Бережковское,41609453,фельдшерско-акушерские пункты,500,2014,,,,,,,,Мурманская область,,,
,Ленинградская область,Бережковское,41609453,фельдшерско-акушерские пункты,2000,2015,,,,,,,,Ненецкий автономный округ,,,
